Timestamp,Which class are you in?,How much did you enjoy this unit?,Are the assignments for every class clear for you to understand?,Does the to-do list format for this unit make sense to you?,Would you prefer we teach you a software to draw this map?,What did you like about this unit?,What did you dislike about this unit?,What would you like to change about this unit to make it better?,Feedback or comments for your teacher
5/5/2020 10:54:03,8P3-B,10,9,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,walk around and draw the map,doing the worksheet,don't need the worksheet,nothing
5/5/2020 10:54:09,8P3-B,7,7,"I have no preference, I just hate planning",I have no preference,drawing the map.,planning to-do list.,no planning.,good.
5/5/2020 10:54:19,8P3-B,9,10,I prefer this format,I like the option to choose how I want to make the map,Draw the map,No,I think this unit is good,Good
5/5/2020 10:56:23,8P3-B,10,6,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,Draw,No,No,No
5/5/2020 10:59:37,8P3-B,8,9,I prefer this format,I have no preference,Make a map with partner,time.,give us time to see the building,I think this activity is interesting but it has no enough time. 
5/5/2020 11:02:01,8P3-B,4,7," Not really, i use other ways to plan things",I have no preference,Can draw designs,Too many things need to do,Not using paper,Nothing
5/5/2020 11:02:06,8P3-B,8,8,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,We can have more ideas about how to right maps.,it's to fast.,"The class is to fast, so I want the class to slow down ",I like the things that the teacher gave us.
5/5/2020 11:02:11,8P3-B,6,7,"I have no preference, I just hate planning",I have no preference,it is a little bit fun.,it is a little boring.,make it fun,╰(*°▽°*)╯(¬‿¬☆*: .｡. o(≧▽≦)o ｡.:*☆
5/5/2020 11:03:22,8P3-B,7,7,I prefer to write a journal or week by week task,I would rather a software is actually taught in class for me to use,nothing ,Nothing ,more activity ,"no
"
5/5/2020 11:03:37,8P3-B,10,7,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,the measure part,nothing,the worksheet,Mr. Lin is very good
5/5/2020 11:03:43,8P3-B,6,8,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,We can pair in small group and discuss together and also it helps to improve our self organize. ,It is difficult to draw the actual map and the time is not enough for us to planing and draw.,need more time,nothong
5/5/2020 11:04:22,8P3-B,9,9,I prefer this format,I like the option to choose how I want to make the map,map,nothing,more fun,great
