board,title,content,time
Gossiping,[問卦] 共產黨是不是該直接宣布達爾文行動？,  看來這病毒擋不住了 如果硬要對抗 勢必全面封鎖各大城市 中國經濟大海嘯 人民失去支持共黨的唯一信念 各地將會大暴動推翻共產黨政權  所以共產黨的唯一機會是不是宣布達爾文行動 就讓人民自生自滅 免疫力高的自然存活 把武漢肺炎視為一般流感 一切恢復正常   Sent From My Asshole   ,2020-02-05 09:33:11
Gossiping,[問卦] 誰是台灣的Jimi Hendrix?,   剛才看了好多Jimi Hendrix的現場表演  看他耍那把電吉他 真的有種人琴合一的感覺  莫名的會覺得很爽 讓人非常陶醉  不愧為吉他表演第一人   台灣有沒有像Jimi Hendrix一樣神的人?          愛妻守則 1.美紀做的料理一定吃光光 2.要認真努力 帶美紀到處嘗美食 3.好好守護美紀的笑容 ^_^ 4.和美紀一起把笑容帶給全世界    ,2020-02-09 22:16:12
Gossiping,Re: [問卦] 剛剛記者在大聲什麼, ※ 引述《wanggerger ()》之銘言： : 剛剛疾管署記者會 : 提問時間不知道哪一位女記者大小聲 : 問個問題咄咄逼人 : 有他在激動什麼的八卦嗎  就急了吧 問不到想問的 這種時候有這種表現才是人的常情 人家是記者 又不是跟蟑螂一樣賤  當然可以選擇要不要舔黨 所以說蟑螂是比妓者更低賤的存在 ptt早期以前說小時不讀書 長大當妓者 但是想不到蟑螂比妓者更賤更不要臉 大概就是跟印度種姓比吠舍更賤的賤民那樣吧 大概是這樣   ,2020-02-17 22:21:46
Gossiping,[問卦] 台灣的醫學系後又留學的是不是很少？, 台灣最聰明的精英-念台灣的醫學系的以及畢業後醫生  也是對台灣風俗民情最了解的聰明人  是不是又出國留學的很少？  那種短期的不算的  我指的是真的長期的留學的  是不是真的及其稀少幾乎沒有？    ,2020-03-24 08:05:16
Gossiping,Re: [問卦] 在家自主健身訓練有搞頭嗎, ※ 引述《yun54272 ()》之銘言： : 你各位好 : 通常健身房都是簽期限的 : 但有時候沒空去會浪費時數 : 如果不特別買器材 : 在家自己做做伏地挺身訓練成效怎麼樣啊 : 有推薦做什麼嗎    魯弟在家裡作伏地挺身  效果很好    奶奶已經升級到C罩杯    害我老婆沒事一直抓我的奶  都被性騷擾= =     總之基本上就是慢慢作  手肘貼著身體不要張開    上來下去都要出力  身體打直不要彎曲    一般伏地挺身作不夠了可以挑戰特殊一點的    比如說愛心伏地挺身  就是兩手比一個愛心這樣作    不過這個蠻吃肩膀的  有點底子再練    或是偏心伏地挺身  把重心集中在一手  另外一隻手往外展開    偏心伏地挺身有辦法作到20下  可以挑戰單手伏地挺身    一般人作單手伏地挺身  姿勢不正確  身體歪歪的  以為不太難    其實如果要達到  身體一直平行於地面  不要左右歪  腳只開與肩同寬  就很難    我從錯誤姿勢的15下  修正到正確姿勢只剩5-6下    不過我只有右手能作單手伏地挺身  左手有種重心抓不到的感覺    所以最近都練更難的：  老婆伏地挺身    這個伏地挺身  顧名思義  就是老婆用全身的重量  一屁股坐在你的腰上面    然後你再作伏地挺身  這個難度很高  我覺得訓練很紮實    起始動作是你先完全趴在地上平平的  給老婆先坐上來  比較容易開始    這個伏地挺身最難的難關就是：你要先有老婆    很多八卦魯蛇沒有老婆  就沒辦法練這種高階的    哈哈  沒老婆魯蛇  哈哈  練不成吧o'_'o   ,2020-02-22 12:34:39
Gossiping,[爆卦] 川普說要暫停所有移民,"   川普剛剛在twitter發布 因為武漢肺炎這個敵人,影響大批美國人的就業 為了保護美國人工作 將簽署命令暫停所有移民   ",2020-04-21 10:20:24
Gossiping,Re: [問卦] 台灣趁這波改國號！？, ※ 引述《zball (QQ)》之銘言： : ※ 引述《Cetuximab (單株)》之銘言： : : 一堆國家抵制中國 : : 台灣因為護照上那個China被跟著一起抵制 : : 是不是應該正名制憲了？ : : 改成台灣共和國，福爾摩沙共和國之類的？ : : - : : ,2020-02-01 18:52:27
Gossiping,[問卦] 台鐵禁止飲食不通情理吧？, 安安  不知道消息來源正不正確 聽說台鐵之後要禁止飲食 連主業台鐵便當好像車上也暫停販售  賣不賣便當是小事  但不能吃太不同情理了吧？  捷運短程不能吃東西還說得過去  但會選擇搭火車大多旅途較長  短則一兩個小時內的時間  遠一點的一搭就三四個小時  也不是搭車時間都會剛好在非用餐時間  不是本來就會利用搭車時間吃東西嗎？  這樣通勤忙碌的人不就沒辦法吃了...  因為餓過頭暈倒或休克有人敢負責嗎？   防疫固然重要  但也是要看狀況吧   安安有掛否？  附上消息來源     ,2020-04-03 21:52:10
Gossiping,[問卦] 小鐘是不是最幸福的主持人？, 可以搭檔漂亮的女藝人 一個比一個漂亮 有沒有比他還幸福的主持人的八卦？   ,2020-02-04 14:19:25
Gossiping,[問卦] 獵人黑暗大陸篇完就完結嗎,  海賊王找到偉大秘寶就完結 火影帶回佐助就完結 我以為獵人也是找到爸爸就完結 啊結果都找到了 後面還搞個黑暗大陸 先不說現在還在海上而已 離大陸還超遠  所以獵人要怎麼完結 大家一起征服黑暗大陸就是獵人的end嗎 還是之後要打外星人 征服宇宙    - ,2020-03-22 03:58:39
