工務段,國道編號,方向,里程,經度,緯度,日期,詳細類群,可能種類推測
南投,3,N,209.1,120.6637003,24.065077,2016/1/12,中小鳥,鴿子
南投,3,S,199.3,120.5790795,24.102178,2016/1/12,中小鳥,鴿子
南投,3,N,223,120.657188,23.9573125,2016/1/13,中小鳥,斑鳩
南投,3,N,215.6,120.6616408,24.016751,2016/1/14,中小鳥,斑鳩
南投,3,S,222.1,120.6500562,23.96336467,2016/1/14,其他,無法辨識
南投,3,N,217.3,120.651886,24.00448667,2016/1/18,中小鳥,鴿子
南投,3,N,221.5,120.6488072,23.9677145,2016/1/19,中小鳥,斑鳩
南投,3,S,197.1,120.557979,24.10608033,2016/1/19,中小鳥,斑鳩
南投,3,N,196.3,120.5513732,24.108288,2016/1/20,中小鳥,鴿子
南投,3,S,220.6,120.65029,23.97646133,2016/1/20,中小鳥,斑鳩
南投,3,S,209.3,120.6647223,24.06439283,2016/1/21,中小鳥,斑鳩
南投,3,N,200.6,120.5919902,24.09859,2016/1/22,中小鳥,小白鷺或黃頭鷺
南投,3,S,218.6,120.6508628,23.99397667,2016/1/22,中小鳥,鴿子
南投,3,N,205.4,120.6322687,24.07837167,2016/1/23,中小鳥,斑鳩
南投,3,N,207.9,120.6523945,24.06787683,2016/1/25,中小鳥,鴿子
南投,3,S,199.6,120.5817398,24.101051,2016/1/25,中小鳥,斑鳩
南投,3,N,219.3,120.6528543,23.98700083,2016/1/26,中小鳥,鴿子
南投,3,S,209.3,120.6647223,24.06439283,2016/1/26,中小鳥,鴿子
南投,3,N,207.9,120.6523945,24.06787683,2016/1/27,中小鳥,斑鳩
南投,3,S,205.3,120.631019,24.07926083,2016/1/27,中小鳥,斑鳩
中壢,2,E,16.3,121.307972,24.973431,2016/1/26,貓狗,貓
中壢,1,N,66.8,121.1738212,24.927431,2016/1/22,中小鳥,無法辨識
中壢,1,S,80.1,121.065725,24.87769167,2016/1/18,中小鳥,竹雞
中壢,1,S,80.2,121.0648238,24.87736167,2016/1/26,大鳥,鳳頭蒼鷹
中壢,1,S,56.1,121.2451495,24.996343,2016/1/5,中小鳥,鴿子
中壢,1,S,56.7,121.2412272,24.99241,2016/1/5,中小鳥,鴿子
中壢,1,S,62,121.2026498,24.96015367,2016/1/5,中小鳥,鴿子
中壢,1,S,67,121.1730087,24.92703483,2016/1/5,中小鳥,大卷尾
中壢,1,N,69.3,121.1638772,24.90730133,2016/1/5,中小鳥,斑鳩
中壢,1,N,66.8,121.1738212,24.927431,2016/1/5,中小鳥,斑鳩
中壢,1,N,65.2,121.1877915,24.9341675,2016/1/5,中小鳥,鴿子
中壢,1,N,89.6,121.0222515,24.83513617,2016/1/7,大鳥,小白鷺
南投,3,S,254,120.6215677,23.77640917,2016/1/1,貓狗,貓
南投,3,S,224.5,120.6681055,23.95011383,2016/1/6,貓狗,貓
南投,3,N,236.8,120.7022448,23.85411583,2016/1/16,貓狗,狗
南投,3,N,243.7,120.7018993,23.79612867,2016/1/16,貓狗,貓
